# Constructed from biom file																			
	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	ConsensusLineage
1144171	2.333333333	1.666666667	1.5	0.666666667	1	0	0.333333333	1	1.333333333	1	0.333333333	1.333333333	2	1.333333333	0.666666667	0	0.333333333	3.333333333	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
136114	0.333333333	0.333333333	1	1.333333333	0	0	1	0	0	0	1	0	0	0	0	0.333333333	0	0.666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
4017244	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Spirochaetes; c__[Leptospirae]; o__[Leptospirales]; f__Leptospiraceae; g__Turneriella; s__
225788	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5.333333333	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
3850831	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0.666666667	0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
519510	0.333333333	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__
196412	0	0	0	0	0	0	0	0	0	0	0	0	1.333333333	2.666666667	0	13.66666667	0	0	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__gargensis
4310475	0	0	0	0	0	0	0	1.333333333	0	0	0	0	0	0	0	0	0.666666667	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__
296086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
207866	0	0.333333333	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__
360124	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
3815760	0	0.333333333	0.5	0	0.333333333	0	0	0.333333333	0	0	0	0	0	0	0.333333333	0	0.333333333	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
241999	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__
984895	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0.333333333	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Ellin5301; g__; s__
568391	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	1	0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
223202	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Chloroflexi; c__C0119; o__; f__; g__; s__
977144	0.666666667	0	0.5	0	0.333333333	0	0	9.333333333	0.666666667	0	0	0	0	0	0	0.666666667	0.333333333	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__
838300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__
543818	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
4345237	0	0.333333333	0	0	0	0	0	2.333333333	0	0	0	0	1	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
241193	0	0	0	0	0	0	0	0	0	0	0	0	20.66666667	0	0.666666667	0.333333333	0	0.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
546824	0.666666667	0	0.5	1.666666667	0.666666667	2.666666667	2	0.666666667	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
1068936	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
568398	0.333333333	0.333333333	0.5	0	0	0	0.333333333	1	0	0	0.333333333	0	0	0	0	0	7.666666667	0.333333333	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
811968	0	0	0	0.666666667	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__
